"name","gender"
"Monica Vitti","F"
"Giulietta Masina","F"
"Marcello Mastroianni","M"
"Franco Fabrizi","M"
"Silvana Mangano","F"
"Franco Citti","M"
"Ninetto Davoli","M"
"Silvana Mangano","F"
"Massimo Girotti","M"
"Mel Brooks","M"
"Harvey Korman","M"
"Dom DeLuise","M"
"Madeline Kahn","F"
"Gene Wilder","M"
"Diane Keaton","F"
"Mia Farrow","F"
"Maurice Sonnenberg","F"
"Stephanie Roth Haberle","F"
"Clint Eastwood","M"
"Jean-Luc Godard","M"
"Anna Karina","F"
"Anne-Marie Miéville","F"
"Jean-Pierre Léaud","M"
"Jean-Paul BelMondo","M"
"Claude Jade","M"
"Charles Denner","M"
"Emmanuelle Seigner","F"
"Woody Allen","M"
"Mia Farrow","F"
"Diane Keaton","F",
"Dianne Wiest","F"
"Scarlett Johansson","F"
"Stephanie Roth Haberle","F"
"Louise Lasser","F"
"Frederic Forrest","M"
"Al Pacino","M"
"Robert Duvall","M"
"Diane Lane","F"
"James Caan","M"
"Nancy Allen","F"
"William Finley","M"
"Charle Durning","M"
"John Lithgow","M"
"Robert De Niro","M"
"Leonardo DiCaprio","M"
"Harvey Keitel","M"
"Martin Scorsese","M"
"Joe Pesci","M"
"Natalie Portman","F"
"Ewan McGregor","M"
"Laura Dern","F"
"Harrison Ford","M"
"Tom Hanks","M"
"Richard Dreyfuss","M"
"Kurt Russell","M"
"Donald Pleasence","M"
"Michael Biehn","M"
"Arnold Schwarzeneger","M"
